pr_number,date_opened,date_merged,author,title
32133,2026-04-09,null,jiaweitao001,fix: resolve #55555 - azurerm_container_app crashes on custom domain
32072,2026-03-31,2026-04-07,magodo,`azurerm_storage_account` - Remove `TLS1_3` as an valid value for `min_tls_version`
32071,2026-03-30,2026-03-31,magodo,Storage: Upgrade API version from 2023-05-01 to 2025-06-01
32044,2026-03-26,2026-04-06,ziyeqf,new resource: `azurerm_data_protection_backup_instance_data_lake_storage`
32012,2026-03-23,2026-03-30,ZiChuanBuXiu,`azurerm_ai_foundry` - Update documentation
31989,2026-03-18,2026-03-24,jiaweitao001,`azurerm_container_app`: Update `failure_count_threshold` validation for container app probes
31963,2026-03-16,2026-03-16,xiaxyi,`dependencies` - update `go-azure-sdk` to `v0.20260312.1165223`
31911,2026-03-10,2026-03-10,magodo,Provider: Fix a bug that `enhanced_validation` default values get ignored (should from env var) if the block is not specified
31888,2026-03-04,null,teowa,New Resource: `azurerm_data_protection_backup_instance_data_lake_storage`
31871,2026-03-03,2026-03-20,ZiChuanBuXiu,`cognitive_account_rai_blocklist_resource` - support `tags` property and add validation for `name` property
31838,2026-02-26,2026-03-10,ms-henglu,`fleet` - update sdk to `2025-03-01`
31808,2026-02-23,null,magodo,`azurerm_container_registry`: Deprecate `[georeplications.*.]zone_redundancy_enabled` properties
31798,2026-02-22,2026-02-23,WodansSon,[ENHANCEMENT:] Update `.gitignore` to not allow new AI `skills` directory to be included in the repos `.github` folder...
31745,2026-02-13,2026-02-13,magodo,Import spec: `azurerm_data_factory_linked_service_sql_managed_instance`
31705,2026-02-09,2026-04-08,magodo,`azurerm_private_endpoint`: `request_message` and `is_manual_connection` check is moved to plan time
31682,2026-02-05,2026-02-25,xiaxyi,`azurerm_service_plan` - add warning message in docs
31670,2026-02-04,2026-03-27,ms-henglu,new resource `azurerm_kubernetes_cluster_deployment_safeguard`
31651,2026-02-03,2026-02-03,wuxu92,`script`: fix run unittest action failure
31653,2026-02-03,2026-02-25,jiaweitao001,dashboard: Update avaiable major versions of Grafana in `grafana_major_version`
31654,2026-02-03,2026-02-24,v-yhyeo0202,Databricks - bump all API versions to 2026-01-01
31640,2026-02-02,2026-02-06,magodo,Upgrade Container Instance API version from 2023-05-01 to 2025-09-01
31627,2026-01-30,2026-01-30,ms-henglu,`azurerm_kubernetes_cluster` - `network_policy` support update from `calico` to `cilium`
31610,2026-01-29,2026-02-11,wuxu92,Resource List: `azurerm_service_plan`
31612,2026-01-29,2026-01-29,wuxu92,fix terrafmt and tflint failure in main
31613,2026-01-29,2026-02-02,wuxu92,Resource List: `azurerm_automation_account`
31605,2026-01-28,2026-02-06,promisinganuj,New Data Source: `azurerm_cognitive_account_project`
31592,2026-01-27,2026-02-03,wuxu92,Resource Identity: `azurerm_network_manager_routing_rule`
31593,2026-01-27,null,jiaweitao001,New resource: `azurerm_managed_lustre_file_system_auto_import_job`
31585,2026-01-26,2026-01-27,wuxu92,Resource Identity: `azurerm_network_manager`
31569,2026-01-23,2026-01-27,wuxu92,Resource Identity: `azurerm_automation_account`
31570,2026-01-23,2026-03-12,jiaweitao001,`paloalto`: Upgrade API version to `2025-10-08`
31535,2026-01-20,null,wuxu92,`azurerm_key_vault_managed_hardware_security_module`: allow to update `purge_protection_enabled` from disable to enable
31536,2026-01-20,null,wuxu92,`azurerm_key_vault_managed_hardware_security_module_role_assignment`: check role existence before get HSM ID
31515,2026-01-16,2026-02-03,magodo,ContainerRegistry Service: Upgrade API version from 2025-04-01 to 2025-11-01
31519,2026-01-16,2026-02-03,WodansSon,[Contributor Documentation]: Add guidance for Acceptance Test PreCheck functions
31509,2026-01-15,2026-01-21,magodo,`azurerm_databricks_workspace` - Remove the PATCH (for tags) during `Update()`
31494,2026-01-13,2026-01-13,magodo,dependencies: `go-azure-sdk` - update to `v0.20260109.1234209`
31497,2026-01-13,2026-03-30,ms-henglu,`azurerm_kubernetes_cluster` - fix validation for `advanced_networking` block
31469,2026-01-09,2026-01-13,ziyeqf,`datadog`; `nginx` - correct client configure func
31470,2026-01-09,2026-03-31,liuwuliuyun,`azurerm_kusto_attached_database_configuration` - Add support for `database_name_override`; `database_name_prefix`; `functions_to_exclude`; and `functions_to_include` properties
31463,2026-01-08,2026-01-16,teowa,`azurerm_network_manager_routing_configuration` - support `route_table_usage_mode` property
31460,2026-01-07,2026-01-07,neil-yechenwei,[TestCase] `azurerm_confidential_ledger` - update resource group name in test case
31445,2026-01-06,2026-01-06,liuwuliuyun,`azurerm_kusto_eventhub_data_connection` - support for`retrieval_start_date`
31433,2026-01-05,2026-01-30,ziyeqf,`azurerm_logic_app_trigger_http_request` - fix a bug when import empty trigger
31436,2026-01-05,2026-01-06,WodansSon,[Contributor Docs]: Add additional`tags` information to documentation
31431,2026-01-01,2026-01-02,magodo,`azurerm_storage_account` - can now update a Storage Standard ZRS account
